,Officer Name,Rank,Command,Shield,Appointed Date,Total Arrests,Department Recognitions
17997,"MCFARLAND, JOYALEVERN",POLICE OFFICER,POLICE ACADEMY,31811,1/10/2018,51,0
17998,"MCFARLAND, LATRICE A",POLICE OFFICER,TRB CITYWIDE TRAFFIC T/F,13973,4/12/2017,25,0
17999,"MCFARLAND, RANDAL J",DETECTIVE 3RD GRADE,HWY DST COLLISION INV SQD,3352,7/6/2011,140,0
18000,"MCFARLANE, DANAE T",SERGEANT,INTEL CIS FIO PROGRAM,1529,7/6/2010,176,0
18001,"MCGANN, JOHN T",POLICE OFFICER,HOUSING PSA 9,3684,7/6/2011,58,3
18002,"MCGARRY, EMMA L",POLICE OFFICER,013 PRECINCT,8003,7/8/2015,25,0
18003,"MCGARRY, JAMES",LT DET COMMANDER,QUEENS SOUTH OPER HOMICIDE SQD,,4/15/1997,159,79
18004,"MCGARRY, MARGARET M",POLICE OFFICER,PBSI FERRY SECURITY UNIT,11338,7/10/2006,46,0
18005,"MCGARRY, NICHOLAS A",LIEUTENANT,049 PRECINCT,,7/6/2010,162,11
18006,"MCGARVEY, SEAN J",POLICE OFFICER,001 PRECINCT,3353,12/29/2020,7,0
18007,"MCGEE, BRIAN A",POLICE OFFICER,046 PRECINCT,8814,7/6/2011,81,2
18008,"MCGEE, BRIAN S",DEPUTY CHIEF,DET BORO MANHATTAN NORTH,,10/15/1990,60,22
18009,"MCGEE, CHRISTOPHER T",DETECTIVE 3RD GRADE,WARRANT SECTION,2293,7/22/2002,229,3
18010,"MCGEE, DANIEL J",POLICE OFFICER,069 PRECINCT,20092,1/9/2012,234,18
18011,"MCGEE, DILLON R",POLICE OFFICER,113TH DET SQUAD,28038,1/3/2019,88,0
18012,"MCGEE, JEREMY E",DETECTIVE 3RD GRADE,FIREARMS SUPPRESSION SECTION,4626,1/9/2006,526,25
18013,"MCGEE, JOHN J",DETECTIVE SPECIALIST,BARRIER SECTION,5148,12/8/1997,738,14
18014,"MCGEE, ROBERT J",DETECTIVE SPECIALIST,EMER SERV SQ 01,1498,1/20/2004,76,8
18015,"MCGEOUGH, KEVIN P",POLICE OFFICER,HARBOR UNIT,9550,1/10/2005,45,2
18016,"MCGEOUGH, MICHAEL P",POLICE OFFICER,DRIVER EDUCATION & TRAINING UNIT,3816,1/9/2006,45,1
18017,"MCGEOUGH, UNA A",SGT SPECIAL ASSIGN,CHIEF OF DEPARTMENT,4532,4/14/1997,73,0
18018,"MCGEOWN, LAVINIA",SERGEANT,INFORMATION TECHNOLOGY BUREAU,4281,1/9/2012,180,3
18019,"MCGHEE, JOHN P",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,3573,7/6/2010,22,0
18020,"MCGHEE, TERRENCE",DETECTIVE 1ST GRADE,JOINT TERRORIST TASK FORCE,52,1/20/1987,377,120
18021,"MCGILL, MICHAEL B",SERGEANT,TRN BUR CMD LVL TRAINING SECT,3924,4/15/1997,40,3
18022,"MCGILL, SEAN P",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,7348,7/1/2003,84,0
18023,"MCGILL, SHAUN M",POLICE OFFICER,001 PRECINCT,24929,3/1/2000,84,3
18024,"MCGING, JOHN P",POLICE OFFICER,046 PRECINCT,11170,7/18/1996,300,0
18025,"MCGINN, BRENDAN T",POLICE OFFICER,AUTO POUND,4427,7/1/2002,335,14
18026,"MCGINN, BRIAN A",DEPUTY CHIEF,OFFICE OF PATROL SERVICES BUREAU,,1/26/1988,0,0
18027,"MCGINN, KEVIN P",DETECTIVE 3RD GRADE,NARC BORO STATEN ISLAND MAJOR CASE UNIT,4421,7/8/2015,100,11
18028,"MCGINN, MEAGAN L",DETECTIVE 3RD GRADE,LATENT PRINT SECTION,1991,7/9/2014,37,0
18029,"MCGINN, MICHAEL R",POLICE OFFICER,066 PRECINCT,8853,10/7/2019,14,0
18030,"MCGINN, ROBERT J",POLICE OFFICER,094 PRECINCT,30709,7/1/2002,293,5
18031,"MCGIRT, CARLA N",POLICE OFFICER,063 PRECINCT,21780,1/7/2008,96,2
18032,"MCGIVNEY, JOHN F",DETECTIVE 3RD GRADE,052 DET SQUAD,2501,1/9/2006,385,4
18033,"MCGIVNEY, JOHN L",LIEUTENANT,113 PRECINCT,,7/10/2006,381,27
18034,"MCGLOINE, JOSEPH W",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,25954,3/12/2021,21,0
18035,"MCGLYN, THOMAS R",POLICE OFFICER,121 PRECINCT,29007,1/10/2007,40,0
18036,"MCGLYNN, MICHAEL J",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,31699,7/1/2004,55,0
18037,"MCGLYNN, MICHAEL J",POLICE OFFICER,063 PRECINCT,1749,7/7/1999,35,1
18038,"MCGOEY, KYLE P",POLICE OFFICER,069 PRECINCT,17849,11/2/2020,8,0
18039,"MCGOLDRICK, CHRISTOPHER P",SERGEANT,MILITARY & EXTENDED LEAVE DESK,5204,1/31/2006,82,0
18040,"MCGOURAN, CONOR V",POLICE OFFICER,084 PRECINCT,31638,7/7/2021,5,0
18041,"MCGOVERN, BRENDAN C",POLICE OFFICER,010 PRECINCT,8869,12/29/2020,17,0
18042,"MCGOVERN, BRIAN A",DETECTIVE 3RD GRADE,TECH. ASSIST. & RESPONSE UNIT,604,1/8/2014,149,0
18043,"MCGOVERN, DANIEL H",POLICE OFFICER,105 PRECINCT,1135,7/22/2002,129,1
18044,"MCGOVERN, KATELYN M",POLICE OFFICER,076 PRECINCT,14417,7/5/2017,32,1
18045,"MCGOVERN, MATTHEW T",LT DET COMMANDER,MANH ROBBERY SQUAD,,7/1/2004,180,5
18046,"MCGOVERN, MICHAEL F",DETECTIVE 3RD GRADE,BKLYN ROBBERY SQ,576,7/11/2005,412,3
18047,"MCGOVERN, PETER A",SGT DET SQUAD,DA SQ NY COUNTY,1248,6/30/1992,174,22
18048,"MCGOVERN, PHILIP D",POLICE OFFICER,PATROL BORO MAN SOUTH,22687,7/8/2008,172,3
18049,"MCGOVERN, SARAH A",POLICE OFFICER,CCCS DISCOVERY LIAISON UNIT,13967,7/9/2014,68,0
18050,"MCGOVERN, SEAN K",DETECTIVE 3RD GRADE,WARRANT SECTION,3822,7/10/2006,177,7
18051,"MCGOVERN, SKYE H",POLICE OFFICER,TRANSIT BORO MANHATTAN,3970,10/12/2021,0,0
18052,"MCGOVERN, THOMAS M",SERGEANT,CRITICAL RESPONSE COMMAND,1516,1/10/2005,189,0
18053,"MCGOVERN, THOMAS P",POLICE OFFICER,RTS RECRUITS,27519,12/29/2021,0,0
18054,"MCGOWAN, JASON T",POLICE OFFICER,079 PRECINCT,14655,7/11/2005,105,1
18055,"MCGOWAN, JENNIFER M",POLICE OFFICER,STRATEGIC RESP GRP 5 SI,5462,7/8/2015,46,0
18056,"MCGOWAN, LAUREN M",POLICE OFFICER,010 PRECINCT,22253,1/4/2017,82,0
18057,"MCGOWAN, RYAN J",POLICE OFFICER,103 PRECINCT,23735,10/12/2021,0,0
18058,"MCGOWAN, RYAN M",POLICE OFFICER,019 PRECINCT,14035,4/15/2019,25,0
18059,"MCGOWANANDERSON, INDIANA S",DETECTIVE 3RD GRADE,046 DET SQUAD,3145,7/10/2006,249,0
18060,"MCGRANE, KENNETH E",DETECTIVE SPECIALIST,OPERATIONS UNIT,5294,7/1/1998,130,2
18061,"MCGRATH, BRENDAN D",DETECTIVE 2ND GRADE,QUEENS ROBBERY SQUAD,5302,7/1/2002,364,5
18062,"MCGRATH, CHRISTOPHER J",POLICE OFFICER,COUNTERTERRORISM DIVISION,23425,1/9/2013,28,4
18063,"MCGRATH, CHRISTOPHER J",POLICE OFFICER,026 PRECINCT,23140,1/6/2020,22,0
18064,"MCGRATH, CRAIG J",POLICE OFFICER,062 PRECINCT,26900,7/9/2013,163,12
18065,"MCGRATH, DANIEL J",DETECTIVE 2ND GRADE,072 PRECINCT,4988,1/9/2006,308,15
18066,"MCGRATH, DANIEL N",POLICE OFFICER,014 PCT-MIDTOWN SO. PCT,23195,11/2/2020,32,0
18067,"MCGRATH, MATTHEW B",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,23245,11/2/2020,8,0
18068,"MCGRATH, MATTHEW E",POLICE OFFICER,FLEET SERVICES DIVISION,19301,7/8/2008,226,2
18069,"MCGRATH, MATTHEW J",POLICE OFFICER,013 PRECINCT,14391,7/9/2014,16,1
18070,"MCGRATH, PATRICK J",SERGEANT,LOWER MANHATTAN SECURITY INITIATIVE,292,1/20/2004,257,3
18071,"MCGRATH, PATRICK M",SGT DET SQUAD,CRIMINAL ENTERPRISE INVEST SEC,4430,7/1/1998,227,14
18072,"MCGRATH, THOMAS J",INSPECTOR,IAB ZONE 2,,2/25/1994,70,6
18073,"MCGRATTAN, RYAN J",POLICE OFFICER,CRITICAL RESPONSE COMMAND,24766,7/11/2012,30,0
18074,"MCGRISKENRAYMOND, CHRISTOPHER J",DETECTIVE 3RD GRADE,GVSD Z2 VIOLENCE RED T/F,3342,7/6/2011,165,34
18075,"MCGRORY, SEAN P",SGT DET SQUAD,WARRANT SECTION,2287,1/20/1987,53,21
18076,"MCGUIGAN, BRENDAN A",SERGEANT,FIREARMS & TACTICS SECTION,2904,7/1/1998,77,1
18077,"MCGUINNESS, CHRISTOPHER",DETECTIVE 3RD GRADE,071 DET SQUAD,2777,1/9/2006,437,6
18078,"MCGUINNESS, DANIEL J",SERGEANT,061 PRECINCT,5581,7/11/2012,127,10
18079,"MCGUINNESS, JAMES F",POLICE OFFICER,TRANSIT DISTRICT 1,25918,7/14/2009,93,1
18080,"MCGUINNESS, JOSEPH",DETECTIVE 2ND GRADE,LEGAL BUREAU,4348,7/1/2002,47,5
18081,"MCGUINNESS, RYAN M",LIEUTENANT,123 PRECINCT,,7/11/2005,75,1
18082,"MCGUIRE, CHRISTOPHER J",SGT DET SQUAD,CRIMINAL ENTERPRISE INVEST SEC,3259,1/9/2006,113,1
18083,"MCGUIRE, CHRISTOPHER P",POLICE OFFICER,TB CANINE UNIT,19942,1/10/2007,169,13
18084,"MCGUIRE, COLIN M",POLICE OFFICER,TRANSIT BORO MAN TASK FORCE,15518,7/9/2007,112,0
18085,"MCGUIRE, DANIEL F",POLICE OFFICER,LICENSE DIVISION,11403,7/11/2005,163,0
18086,"MCGUIRE, ERIN P",POLICE OFFICER,PATROL BORO BRONX,10880,2/28/1994,320,32
18087,"MCGUIRE, JAMES T",POLICE OFFICER,LOWER MANHATTAN SECURITY INITIATIVE,17556,1/9/2012,126,1
18088,"MCGUIRE, MICHAEL C",POLICE OFFICER,020 PRECINCT,25906,7/9/2013,68,0
18089,"MCGUIRE, PATRICK J",SGT SPECIAL ASSIGN,PATROL BORO MAN SOUTH,3456,2/28/1994,47,1
18090,"MCGUIRE, PEARSE P",POLICE OFFICER,014 PCT-MIDTOWN SO. PCT,14467,10/18/2017,31,0
18091,"MCGUIRE, RICHARD L",DETECTIVE 3RD GRADE,CRIMINAL INTELLIGENCE SECTION,369,1/10/2007,53,0
18092,"MCGUIRE, THOMAS C",POLICE OFFICER,028 PRECINCT,6228,1/6/2016,104,0
18093,"MCGUIREWRIGHT, LUCAS D",POLICE OFFICER,079 PRECINCT,1032,7/2/2018,73,0
18094,"MCGURK, CARALYNN",DETECTIVE 2ND GRADE,122 DETECTIVE SQUAD,4089,7/10/2006,383,0
18095,"MCGURK, PATRICK H",POLICE OFFICER,034 PRECINCT,4648,7/2/2018,27,3
18096,"MCGURRAN, BRENDAN J",SERGEANT,019 PRECINCT,3723,1/8/2014,102,3
18097,"MCGURRAN, BRIAN P",DETECTIVE 3RD GRADE,"GUN VIOL SUPP DIV Z1 (BK,Q,SI)",4818,4/12/2017,44,7
18098,"MCHENRY, BRIAN J",DETECTIVE 3RD GRADE,069 DET SQUAD,4050,7/22/2002,381,18
18099,"MCHUGH, CHRISTOPHER W",POLICE OFFICER,102 PRECINCT,17974,7/9/2007,126,3
18100,"MCHUGH, JAMES R",POLICE OFFICER,TIMES SQUARE UNIT,26905,7/9/2013,69,2
18101,"MCHUGH, JOHN J",POLICE OFFICER,061 PRECINCT,24708,7/10/2006,45,3
18102,"MCHUGH, JOHN P",DETECTIVE 2ND GRADE,"GUN VIOL SUPP DIV Z1 (BK,Q,SI)",581,7/1/2003,482,6
18103,"MCHUGH, JOSEPH J",POLICE OFFICER,103 PRECINCT,11405,10/24/2018,37,2
18104,"MCHUGH, LIAM P",POLICE OFFICER,013 PRECINCT,25837,1/10/2018,73,0
18105,"MCHUGH, MICHAEL T",SERGEANT,CRITICAL RESPONSE COMMAND,4363,3/1/2000,158,17
18106,"MCHUGH, SEAN E",LT DET COMMANDER,CEIS MAJOR INVESTIGATION SQUAD,,6/30/1998,61,47
18107,"MCHUGH, SEAN T",SERGEANT,120 PRECINCT,441,7/6/2010,124,6
18108,"MCINERNEY, JAMES M",LIEUTENANT,100 PRECINCT,,1/10/2005,81,5
18109,"MCINNIS, ANDREW T",SGT DET SQUAD,DEP COMM INTEL & COUNTERTERRORISM,5078,7/15/1986,163,1
18110,"MCINNIS, MICHAEL P",POLICE OFFICER,FAS SUPPORT TEAM,6241,7/18/1996,48,0
18111,"MCINNIS, MICHAEL R",DETECTIVE SPECIALIST,HAZMAT/WEAPONS OF MASS DESTRUCTION,4406,1/9/2006,806,0
18112,"MCINTOSH, ABIOLA M",SERGEANT,100 PRECINCT,4667,7/6/2010,67,0
18113,"MCINTOSH, CHRISTOPHER M",INSPECTOR,SPECIAL INVESTIGATIONS DIV,,8/31/1998,72,2
18114,"MCINTOSH, DAMIAN O",SERGEANT,TRANSIT DISTRICT 33,1406,7/10/2006,72,0
18115,"MCINTOSH, DERRICK",POLICE OFFICER,077 PRECINCT,8849,1/10/2005,112,1
18116,"MCINTOSH, FRANKLIN O",POLICE OFFICER,063 PRECINCT,25274,7/1/2003,70,0
18117,"MCIVER, ROBERT S",POLICE OFFICER,040 PRECINCT,13892,1/9/2012,337,8
18118,"MCKAY, AMANDA",POLICE OFFICER,090 PRECINCT,20120,10/11/2016,31,0
18119,"MCKAY, ANDREA M",SERGEANT,HOUSING PSA 7,4461,7/11/2012,135,0
18120,"MCKAY, ANTHONY E",POLICE OFFICER,PATROL BORO MAN NORTH,9931,7/2/2001,204,1
18121,"MCKAY, JESSE J",DETECTIVE SPECIALIST,EMER SERV SQ 01,3764,7/11/2012,126,15
18122,"MCKAY, JORDAN A",POLICE OFFICER,RTS RECRUITS,26924,12/29/2021,0,0
18123,"MCKAY, MATTHEW D",POLICE OFFICER,105 PRECINCT,2501,12/29/2020,9,0
18124,"MCKEE, PATRICK J",POLICE OFFICER,044 PRECINCT,6526,7/8/2015,51,2
18125,"MCKEEFREY, DANIEL J",LIEUTENANT,005 PRECINCT,,7/8/2008,103,15
18126,"MCKEEVER, CHRISTINA L",POLICE OFFICER,060 PRECINCT,1923,10/7/2015,49,0
18127,"MCKEEVER, NICHOLAS E",POLICE OFFICER,ATU LATE TOUR PATROL TD 1,25164,7/6/2011,323,12
18128,"MCKENITH, MALACHI B",POLICE OFFICER,040 PRECINCT,2680,1/7/2008,151,3
18129,"MCKENNA, CHRISTOPHER B",DETECTIVE 3RD GRADE,INTEL CIS FIO PROGRAM,3320,7/9/2013,129,4
18130,"MCKENNA, JAMES R",SERGEANT,CRIMINAL JUSTICE BUREAU,2425,1/7/2008,182,1
18131,"MCKENNA, MATTHEW S",POLICE OFFICER,063 PRECINCT,6245,1/6/2016,29,3
18132,"MCKENNA, MICHAEL A",POLICE OFFICER,105 PRECINCT,26966,7/7/2021,4,0
18133,"MCKENNA, MICHAEL S",POLICE OFFICER,LMSI PROJECT MANAGEMENT OFFICE,2542,7/11/2012,33,0
18134,"MCKENNA, MICHAEL S",SGT SPECIAL ASSIGN,EMER SERV SQ 09,5612,7/11/1988,0,1
18135,"MCKENNA, MYLES P",SERGEANT,INTERNAL AFFAIRS BUREAU,4190,7/6/2011,192,17
18136,"MCKENNA, PAUL N",LT DET COMMANDER,TECH. ASSIST. & RESPONSE UNIT,,7/1/2004,122,6
18137,"MCKENNA, SCOTT A",SGT DET SQUAD,"GUN VIOL SUPP DIV Z1 (BK,Q,SI)",2426,1/30/1995,169,43
18138,"MCKENNA, THOMAS D",POLICE OFFICER,ATU LATE TOUR PATROL TD 2,1502,1/6/2016,8,1
18139,"MCKENNA, TYLER N",POLICE OFFICER,052 PRECINCT,1716,10/24/2018,103,1
18140,"MCKENNEY, CARLTON A",SERGEANT,TB ANTI TERRORISM UNIT,648,6/30/1995,90,1
18141,"MCKENZIE, BERNARDO G",POLICE OFFICER,HOUSING PSA 7,20646,1/4/2017,35,1
18142,"MCKENZIE, BEVIN S",POLICE OFFICER,023 PRECINCT,27511,1/23/2007,68,0
18143,"MCKENZIE, ELDINA",POLICE OFFICER,061 PRECINCT,5438,1/6/2020,12,0
18144,"MCKENZIE, KAREN S",POLICE OFFICER,110 PRECINCT,22518,7/1/2003,98,0
18145,"MCKENZIE, MALCOLM C",POLICE OFFICER,WORLD TRADE CENTER COMMAND,5566,1/10/2007,41,0
18146,"MCKENZIE, MICHAEL",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,22451,11/2/2020,18,0
18147,"MCKENZIE, MICHAEL S",POLICE OFFICER,007 PRECINCT,1934,1/10/2007,53,3
18148,"MCKENZIE, MYRON I",POLICE OFFICER,CRITICAL RESPONSE COMMAND,8918,7/6/2010,56,0
18149,"MCKENZIE, NINA M",POLICE OFFICER,071 PRECINCT,25366,1/17/2008,112,1
18150,"MCKENZIE, SHAINAH N",SERGEANT,077 PRECINCT,3859,7/9/2013,48,4
18151,"MCKEON, ANDREW G",POLICE OFFICER,025 PRECINCT,10380,10/18/2017,23,0
18152,"MCKEON, JOSEPH J",POLICE OFFICER,009 PRECINCT,30075,11/2/2020,12,0
18153,"MCKEON, KASEY E",POLICE OFFICER,121 PRECINCT,16649,7/1/2019,35,0
18154,"MCKEON, KEVIN",POLICE OFFICER,STATEN ISLAND COURT SECTION,13969,7/9/2014,21,1
18155,"MCKEON, ROBERT W",LIEUTENANT,PBMS SPECIALIZED UNITS,,8/31/1998,82,2
18156,"MCKEVITT, JASON P",DETECTIVE 3RD GRADE,QUEENS CHILD ABUSE SQUAD,766,7/10/2006,270,5
18157,"MCKEVITT, SCOTT P",LIEUTENANT,014 PCT-MIDTOWN SO. PCT,,4/15/1997,47,5
18158,"MCKIERNAN, HEATHER A",DETECTIVE 3RD GRADE,MANHATTAN SOUTH GRAND LARCENY SQD,3922,1/14/2009,294,0
18159,"MCKINLEY, JAMES T",POLICE OFFICER,024 PRECINCT,19542,7/10/2006,74,2
18160,"MCKINNEY, ALVIN",POLICE OFFICER,TIMES SQUARE UNIT,7555,4/6/2016,52,0
18161,"MCKINNEY, MARTIN L",LIEUTENANT,HOUSING PSA 3,,8/30/1993,84,4
18162,"MCKINNON, JENNIFER A",POLICE OFFICER,061 PRECINCT,31395,7/1/2002,48,0
18163,"MCKINNON, SEAN J",DETECTIVE 3RD GRADE,013 DET SQUAD,2259,1/10/2007,600,4
18164,"MCKISKI, JONATHAN J",POLICE OFFICER,060 PRECINCT,14969,1/9/2012,243,11
18165,"MCKIVER, WILLIAM L",POLICE OFFICER,028 PRECINCT,12433,7/1/2004,224,1
18166,"MCKNIGHT, JUSTIN P",DETECTIVE 3RD GRADE,NARC BORO MANHATTAN NORTH,6853,7/11/2012,406,4
18167,"MCKNIGHT, KIMBERLY R",SERGEANT,STATEN ISLAND COURT SECTION,837,7/10/2006,105,1
18168,"MCKNIGHT, RICHARD S",POLICE OFFICER,NARC BORO MANHATTAN NORTH,7955,7/9/2013,297,62
18169,"MCKNIGHT, ROBERT L",POLICE OFFICER,044 PRECINCT,26160,2/24/2021,16,0
18170,"MCKNIGHT, WILLIAM J",POLICE OFFICER,070 PRECINCT,7434,7/9/2013,137,3
18171,"MCKOY, MARK L",POLICE OFFICER,YOUTH STRATEGIES DIVISION,22265,7/11/2005,79,5
18172,"MCLAINE, APRIL M",SERGEANT,CRITICAL RESPONSE COMMAND,1010,1/14/2009,56,1
18173,"MCLAINE, SEAN P",SERGEANT,033 PRECINCT,1020,7/1/2002,54,11
18174,"MCLAMB, TAMARA L",LIEUTENANT,QN EVIDENCE COLLECTION TEAM,,1/14/2009,117,2
18175,"MCLARIN, CHERYL C",LIEUTENANT,GRANTS UNIT,,1/10/2007,147,0
18176,"MCLASKY, RYAN M",POLICE OFFICER,TB CITYWIDE VANDALS TASK FORCE,10903,7/9/2014,183,6
18177,"MCLAUGHLIN, BRENDAN J",POLICE OFFICER,043 PRECINCT,18111,10/24/2018,109,0
18178,"MCLAUGHLIN, CHRISTOPHER E",DETECTIVE 3RD GRADE,CID CRIME STOPPERS UNIT,1836,7/6/2010,315,2
18179,"MCLAUGHLIN, CHRISTOPHER E",POLICE OFFICER,017 DET SQUAD,27599,10/7/2015,73,6
18180,"MCLAUGHLIN, CLINT T",POLICE OFFICER,033 PRECINCT,18169,1/6/2016,48,2
18181,"MCLAUGHLIN, DOUGLAS S",POLICE OFFICER,107 PRECINCT,25677,10/11/2016,90,0
18182,"MCLAUGHLIN, KATELYNN D",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,9961,7/9/2013,43,1
18183,"MCLAUGHLIN, KYLE J",POLICE OFFICER,MOUNTED UNIT,15591,7/9/2013,162,0
18184,"MCLAUGHLIN, SHAWN F",DETECTIVE 2ND GRADE,EMER SERV SQ 05,7640,12/8/1997,28,4
18185,"MCLAUGHLIN, SUSAN C",POLICE OFFICER,CRITICAL RESPONSE COMMAND,14475,7/11/2012,23,1
18186,"MCLAUGHLIN, TANEISHA D",LIEUTENANT,DEP COMM EQUITY & INCLUSION,,1/10/2005,162,1
18187,"MCLAUGHLIN, THOMAS O",SGT DET SQUAD,DET BORO BX HOMICIDE SQ,5097,1/18/1993,213,14
18188,"MCLAUGHLIN, THOMAS P",SERGEANT,SCUBA UNIT,4429,7/14/2009,93,4
18189,"MCLAUGHLIN, TIMOTHY J",SERGEANT,CRIMINAL INTELLIGENCE SECTION,4513,7/11/2005,49,0
18190,"MCLAUGHLIN, TRACI A",POLICE OFFICER,QS EVIDENCE COLLECTION TEAM,4883,7/11/2005,197,0
18191,"MCLAUGHLIN, VINCENT W",POLICE OFFICER,120 PRECINCT,4409,10/7/2015,15,1
18192,"MCLAURIN, JUSTIN T",POLICE OFFICER,014 PCT-MIDTOWN SO. PCT,3416,2/24/2021,28,0
18193,"MCLAWHORN, ADAM N",DETECTIVE 3RD GRADE,DET BORO BKLYN NO HOMICIDE SQ,6704,7/1/2003,545,52
18194,"MCLAWHORN, DARNELL D",POLICE OFFICER,033 PRECINCT,17630,7/8/2015,163,4
18195,"MCLEAN, DURAN C",LIEUTENANT,070 PRECINCT,,7/8/2008,174,4
18196,"MCLEAN, DWAYNE A",POLICE OFFICER,HOUSING PSA 1,2395,10/12/2021,0,0
18197,"MCLEAN, MONIQUE R",SERGEANT,PBBX INVESTIGATIONS UNIT,4726,3/1/2000,329,4
18198,"MCLEAN, SHANA C",SERGEANT,007 PRECINCT,1842,7/6/2011,57,1
18199,"MCLEES, RICHARD J",DETECTIVE 3RD GRADE,NARC BORO MANHATTAN SOUTH,4478,1/14/2009,449,2
18200,"MCLEISH, DANILO K",POLICE OFFICER,048 PRECINCT,11531,4/15/2019,47,0
18201,"MCLEISH, KEVIN W",POLICE OFFICER,079 PRECINCT,9951,7/2/2001,90,1
18202,"MCLEOD, GARFIELD G",DEPUTY INSPECTOR,BROOKLYN COURT SECTION,,7/7/1999,74,1
18203,"MCLEOD, JABARI A",POLICE OFFICER,MILITARY & EXTENDED LEAVE DESK,11410,10/24/2018,2,0
18204,"MCLEOD, KEVIN C",POLICE OFFICER,009 PRECINCT,853,7/13/2016,47,2
18205,"MCLEOD, LATOYA N",DETECTIVE SPECIALIST,HOUSING PSA 9,4902,7/1/2002,115,0
18206,"MCLEOD, RUSSELL M",POLICE OFFICER,HOUSING BUREAU,10181,1/9/2012,54,0
18207,"MCLERNON, KYLE E",POLICE OFFICER,105 PRECINCT,26980,7/7/2021,6,0
18208,"MCLOUGHLIN, JOHN P",DETECTIVE SPECIALIST,047 PRECINCT,6476,1/31/2006,392,3
18209,"MCLOUGHLIN, LIAM J",POLICE OFFICER,CHARACTER ASSESSMENT SECTION,9543,7/10/2006,247,2
18210,"MCLOUGHLIN, PATRICK M",POLICE OFFICER,MANHATTAN SOUTH GRAND LARCENY SQD,25841,1/7/2008,128,6
18211,"MCLOUGHLIN, ROBERT G",POLICE OFFICER,112 PRECINCT,21562,1/10/2007,213,4
18212,"MCLOUGHLIN, SEAN J",DETECTIVE 2ND GRADE,CEIS JOINT ORGANIZED CRIME TASK FORCE,7696,10/15/1990,635,10
18213,"MCLYMONT, BRIANNA M",POLICE OFFICER,023 PRECINCT,3537,10/18/2017,29,0
18214,"MCMAHON, ARTHUR J",POLICE OFFICER,BUILDING MAINTENANCE SECT,19781,7/9/2007,219,1
18215,"MCMAHON, BRIAN P",DEPUTY INSPECTOR,PATROL BORO BRONX,,10/12/1990,30,3
18216,"MCMAHON, KEVIN J",POLICE OFFICER,CENTRAL PARK PRECINCT,7453,7/11/2005,132,2
18217,"MCMAHON, KIERAN T",POLICE OFFICER,TRANSIT DISTRICT 30,13506,10/11/2016,25,0
18218,"MCMAHON, MATTHEW J",POLICE OFFICER,TRANSIT DISTRICT 2,18659,7/1/2019,11,0
18219,"MCMAHON, PATRICK J",POLICE OFFICER,061 PRECINCT,22268,10/7/2019,22,1
18220,"MCMAHON, PATRICK S",DETECTIVE 3RD GRADE,HWY DST COLLISION INV SQD,7851,6/30/1995,396,9
18221,"MCMAHON, RYAN G",POLICE OFFICER,104 PRECINCT,8605,7/2/2018,90,0
18222,"MCMAHON, ZACHARY M",POLICE OFFICER,106 PRECINCT,3706,10/12/2021,0,0
18223,"MCMANAMON, KATIE L",POLICE OFFICER,068 PRECINCT,20516,7/5/2017,49,6
18224,"MCMANUS, BRIAN A",SERGEANT,DET BORO QUEENS NORTH,4442,7/1/2004,219,11
18225,"MCMANUS, JOHN M",DETECTIVE 3RD GRADE,071 DET SQUAD,3323,7/6/2010,232,22
18226,"MCMANUS, MARTIN C",POLICE OFFICER,BX AUTO LARCENY UNIT,3350,1/10/2005,272,1
18227,"MCMANUS, MEGAN E",POLICE OFFICER,TRANSIT DISTRICT 20,8038,1/3/2019,3,0
18228,"MCMANUS, MICHAEL",POLICE OFFICER,084 PRECINCT,11200,1/9/2012,81,0
18229,"MCMANUS, MICHAEL H",CAPTAIN,040 PRECINCT,,4/15/1997,121,2
18230,"MCMANUS, RYAN J",POLICE OFFICER,018 PCT-MIDTOWN NO. PCT,19145,10/11/2016,61,2
18231,"MCMANUS, THOMAS J",POLICE OFFICER,014 PCT-MIDTOWN SO. PCT,22700,10/7/2019,10,0
18232,"MCMENAMIN, BRIAN C",CAPTAIN,TRANSIT DISTRICT 3,,7/1/2002,51,1
18233,"MCMIKLE, CLORAINE A",POLICE OFFICER,PATROL BORO QUEENS NORTH,24471,1/31/2006,195,1
18234,"MCMILLAN, JUANITA S",POLICE OFFICER,044 PRECINCT,13191,7/11/2005,103,0
18235,"MCMILLAN, KENYETTA A",POLICE OFFICER,RTCC INVESTIGATIVE SUPPORT SEC,9098,7/6/2010,46,0
18236,"MCMILLAN, KEVIN G",LIEUTENANT,PBBN INVESTIGATIONS UNIT,,1/30/1995,65,3
18237,"MCMILLEON, JONATHAN P",POLICE OFFICER,TECH. ASSIST. & RESPONSE UNIT,31712,7/1/2004,176,11
18238,"MCMORROW, APRIL C",POLICE OFFICER,052 PRECINCT,20284,7/7/1999,156,2
